sample_id,audio_path,overlap_level,pipeline,model,segment_index,start,end,speaker,text
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,1,0.03096875,5.11034375,SPEAKER_00,"关于这次的产品架构升级,我已经重申过无数次了。"
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,2,7.152218750000001,11.05034375,SPEAKER_00,"市场留给我们的时间窗口,最多只剩两周。"
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,3,11.691593750000003,15.640343750000003,SPEAKER_00,我们必须砍掉那些华而不实的人情化设计。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,4,16.079093750000002,19.403468750000002,SPEAKER_00,全面向自动化和高效率妥协。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,5,20.23034375,22.17096875,SPEAKER_00,你所谓的坚持情怀
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,6,22.74471875,27.70596875,SPEAKER_00,在不断下滑的日活数据面前根本一文不值。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,7,28.65096875,30.97971875,SPEAKER_00,用户要的是好用。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,8,31.16534375,33.10596875,SPEAKER_00,"快,解决问题。"
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,9,33.494093750000005,37.915343750000005,SPEAKER_00,而不是对着一个功能去感悟什么设计者的灵魂。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,10,38.64096875,42.994718750000004,SPEAKER_00,你不要再拿那些理想主义的借口来拖延进度了。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,11,43.97346875,45.77909375,SPEAKER_00,商场就是战场。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,12,46.21784375,50.487218750000004,SPEAKER_00,收起你那套多余的同情心和艺术追求吧!
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,13,51.38159375,54.73971875,SPEAKER_00,下周一必须切断旧接口。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,14,55.06034375,58.283468750000004,SPEAKER_00,所有人必须听我指挥。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,15,58.604093750000004,64.35846875,SPEAKER_00,出了问题我一个人来扛。你现在必须给我闭嘴。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,16,64.74659375,66.60284375,SPEAKER_00,立刻执行命令。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,17,66.60284375,68.64471875000001,SPEAKER_01,你以为只有你看到了数据吗?
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,18,69.67409375,70.77096875000001,SPEAKER_01,但你有没有想过?
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,19,71.22659375,73.06596875000001,SPEAKER_01,盲目追求速度的后果。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,20,73.57221875,76.40721875,SPEAKER_01,就是失去我们最核心的忠实用户。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,21,77.38596875,79.52909375,SPEAKER_01,这根本不是什么华而不实的情怀。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,22,79.91721875,82.85346875,SPEAKER_01,这是我们品牌能活到今天的底层逻辑。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,23,83.20784375000001,85.85721875,SPEAKER_01,是冰冷的算法永远给不了的温度。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,24,86.97096875000001,90.49784375,SPEAKER_01,你每次都用这种粗暴的功利主义来绑架整个团队。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,25,91.25721875,93.11346875000001,SPEAKER_01,"把大家没日没夜的心血,"
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,26,93.40034375,95.81346875000001,SPEAKER_01,当成可以随意揉捏的数字工具。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,27,96.60659375,98.63159375000001,SPEAKER_01,我绝不可能看着你把这个产品
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,28,98.80034375000001,101.11221875000001,SPEAKER_01,变成没有灵魂的流水线废物。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,29,102.10784375,103.62659375000001,SPEAKER_01,你就不叫对结果负责。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,30,104.09909375000001,107.01846875000001,SPEAKER_01,你就叫盲目自大和毁灭整个项目。
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,31,107.77784375,111.15284375,SPEAKER_01,"今天就算闹到老板那里,我也绝对不会妥协。"
sample2_no_overlap,data/samples2/no_overlap.wav,none,diarization_asr,faster-whisper+pyannote,32,111.69284375000001,115.52346875,SPEAKER_01,"你想强行上线,就先从我的团队头上踩过去。"
sample2_light_overlap,data/samples2/light_overlap.wav,light,diarization_asr,faster-whisper+pyannote,1,0.03096875,5.11034375,SPEAKER_01,"关于这次的产品架构升级,我已经重申过无数次了。"
sample2_light_overlap,data/samples2/light_overlap.wav,light,diarization_asr,faster-whisper+pyannote,2,7.152218750000001,11.05034375,SPEAKER_01,"市场留给我们的时间窗口,最多只剩两周。"
sample2_light_overlap,data/samples2/light_overlap.wav,light,diarization_asr,faster-whisper+pyannote,3,11.691593750000003,15.640343750000003,SPEAKER_01,我们必须砍掉那些华而不实的人情化设计。
sample2_light_overlap,data/samples2/light_overlap.wav,light,diarization_asr,faster-whisper+pyannote,4,16.079093750000002,19.403468750000002,SPEAKER_01,全面向自动化和高效率妥协。
sample2_light_overlap,data/samples2/light_overlap.wav,light,diarization_asr,faster-whisper+pyannote,5,20.23034375,22.17096875,SPEAKER_01,你所谓的坚持情怀
